holding_period,total_trades,win_rate,mean_return,std_return,sharpe_ratio,profit_factor,max_drawdown,max_gain,max_loss,weighted_mean_return,weighted_sharpe_ratio,final_equity,total_return_pct,portfolio_sharpe,max_drawdown_pct,sizing_mode,combo_label,stop_loss_pct,trail_activation_pct,trail_pct,take_profit_pct
30,915,0.419672131147541,0.011717640634284592,0.18005973176328235,0.18860935018065228,1.1645190762844628,-0.9999957925147354,0.2980000000000002,-0.1520000000000001,0.013328458639664281,0.22083368693364394,121443.28236074079,21.443282360740803,1.2040824752516717,-6.95529101099052,static,fixed15_tp30_no_trail,0.15,,,0.3
30,915,0.419672131147541,0.011717640634284592,0.18005973176328235,0.18860935018065228,1.1645190762844628,-0.9999957925147354,0.2980000000000002,-0.1520000000000001,0.013328458639664281,0.22083368693364394,122319.35812227556,22.319358122275567,1.2020704131949485,-7.070078536602178,compound,fixed15_tp30_no_trail,0.15,,,0.3
30,915,0.419672131147541,0.011717640634284592,0.18005973176328235,0.18860935018065228,1.1645190762844628,-0.9999957925147354,0.2980000000000002,-0.1520000000000001,0.013328458639664281,0.22083368693364394,125687.7224704244,25.68772247042439,1.16666024350624,-7.72117447164276,house_money,fixed15_tp30_no_trail,0.15,,,0.3
30,915,0.42295081967213116,0.024343700810394362,0.22140416259666296,0.3186694736924146,1.3442010455339244,-0.9999580567152451,2.3895,-0.1520000000000001,0.025138111834694908,0.34172890455181526,144548.9724830217,44.5489724830217,1.986447284095168,-6.51327131215443,static,act50_trail15_stop15_tp30,0.15,0.5,0.15,0.3
30,915,0.42295081967213116,0.024343700810394362,0.22140416259666296,0.3186694736924146,1.3442010455339244,-0.9999580567152451,2.3895,-0.1520000000000001,0.025138111834694908,0.34172890455181526,153243.53937285347,53.24353937285346,2.0397860940374555,-6.907134677523836,compound,act50_trail15_stop15_tp30,0.15,0.5,0.15,0.3
30,915,0.42295081967213116,0.024343700810394362,0.22140416259666296,0.3186694736924146,1.3442010455339244,-0.9999580567152451,2.3895,-0.1520000000000001,0.025138111834694908,0.34172890455181526,188296.52367521537,88.29652367521537,1.9866390991041991,-10.916861995324926,house_money,act50_trail15_stop15_tp30,0.15,0.5,0.15,0.3
30,860,0.46511627906976744,0.029458369703876077,0.24951908256220626,0.34217209307105806,1.3775771638716068,-0.9999750402009849,2.3895,-0.20200000000000004,0.030512744301547177,0.3768018130789598,150668.39589066684,50.66839589066685,2.068002152779825,-6.163828554321069,static,act50_trail15_stop20_tp30_ADOPTED,0.2,0.5,0.15,0.3
30,860,0.46511627906976744,0.029458369703876077,0.24951908256220626,0.34217209307105806,1.3775771638716068,-0.9999750402009849,2.3895,-0.20200000000000004,0.030512744301547177,0.3768018130789598,162531.85649527123,62.53185649527124,2.0953471201330913,-6.903045699560774,compound,act50_trail15_stop20_tp30_ADOPTED,0.2,0.5,0.15,0.3
30,860,0.46511627906976744,0.029458369703876077,0.24951908256220626,0.34217209307105806,1.3775771638716068,-0.9999750402009849,2.3895,-0.20200000000000004,0.030512744301547177,0.3768018130789598,213681.51236904314,113.68151236904312,1.9861472946940948,-12.766731819366955,house_money,act50_trail15_stop20_tp30_ADOPTED,0.2,0.5,0.15,0.3
30,1043,0.33557046979865773,0.015913221989483223,0.1955023119096031,0.2359097371717785,1.259423335285853,-0.9997249325548591,2.3895,-0.10200000000000006,0.011688465516475621,0.18612203616084425,133194.981070062,33.194981070062,1.542389307714697,-5.658064074099585,static,act50_trail15_stop10_tp30,0.1,0.5,0.15,0.3
